emoji,count,tokens,mult
flag for mongolia,4839,flagxforxmongolia,
rightwards arrow with hook,4838,rightwardsxarrowxwithxhook,
squared cjk unified ideograph 55b6,4816,squaredxcjkxunifiedxideographx55b6,
flag for isle of man,4814,flagxforxislexofxman,
flag for burundi,4791,flagxforxburundi,
flat shoe,4769,flatxshoe,
flag for slovakia,4755,flagxforxslovakia,
clock face eight thirty,4754,clockxfacexeightxthirty,
clock face one thirty,4753,clockxfacexonexthirty,
flag for mauritania,4727,flagxforxmauritania,
large green square,4724,largexgreenxsquare,
clock face ten thirty,4713,clockxfacextenxthirty,
flag for ethiopia,4688,flagxforxethiopia,
squared katakana sa,4681,squaredxkatakanaxsa,
flag for slovenia,4671,flagxforxslovenia,
flag for central african republic,4650,flagxforxcentralxafricanxrepublic,
wheel of dharma,4636,wheelxofxdharma,
flag for djibouti,4609,flagxforxdjibouti,
flag for libya,4609,flagxforxlibya,
clock face nine thirty,4607,clockxfacexninexthirty,
clock face eleven thirty,4593,clockxfacexelevenxthirty,
black up pointing double triangle,4583,blackxupxpointingxdoublextriangle,
flag for guam,4575,flagxforxguam,
flag for st barthelemy,4569,flagxforxstxbarthelemy,
squared cjk unified ideograph 7533,4560,squaredxcjkxunifiedxideographx7533,
flag for bermuda,4560,flagxforxbermuda,
squared cjk unified ideograph 6708,4555,squaredxcjkxunifiedxideographx6708,
